# MU = distance modulus corrected for bias and contamination
# MUERR = stat-uncertainty on MU 
# MUERR_SYS = sqrt(COVSYS_DIAG) for 'ALL' sys (diagnostic)
#
VARNAMES: CID IDSURVEY zCMB zHEL MU MUERR MUERR_VPEC MUERR_SYS
SN: 5851 50 0.04258 0.04258 36.29475 0.10960 0.03470 0.00643
SN: 132775 50 0.04263 0.04263 36.37683 0.10750 0.03470 0.00659
SN: 35105 50 0.04285 0.04285 36.36465 0.12940 0.03450 0.00697
SN: 45756 50 0.04304 0.04304 36.53652 0.10850 0.03440 0.00656
SN: 55367 50 0.04343 0.04343 36.58869 0.11710 0.03410 0.00658
SN: 54955 50 0.04356 0.04356 36.43785 0.10670 0.03400 0.00699
SN: 68530 50 0.04356 0.04356 36.27136 0.10900 0.03400 0.00678
SN: 127477 50 0.04357 0.04357 36.38307 0.11050 0.03400 0.00663
SN: 23024 50 0.04363 0.04363 36.52412 0.14180 0.03390 0.00700
SN: 6008 50 0.04395 0.04395 36.67592 0.11120 0.03370 0.00667
SN: 52138 50 0.04402 0.04402 36.42806 0.11530 0.03360 0.00667
SN: 125116 50 0.04420 0.04420 36.44587 0.12480 0.03350 0.00750
SN: 19164 50 0.04428 0.04428 36.60840 0.11030 0.03340 0.00667
SN: 125149 50 0.04462 0.04462 36.55714 0.11000 0.03320 0.00646
SN: 123938 50 0.04486 0.04486 36.69066 0.14880 0.03300 0.00634
SN: 47573 50 0.04504 0.04504 36.67104 0.11280 0.03290 0.00828
SN: 70166 50 0.04507 0.04507 36.33280 0.11160 0.03290 0.00697
SN: 77899 50 0.04515 0.04515 36.38292 0.11000 0.03280 0.00715
SN: 120586 50 0.04520 0.04520 36.46541 0.10950 0.03280 0.00778
SN: 2440 50 0.04522 0.04522 36.28188 0.10770 0.03270 0.00637
SN: 2178 50 0.04532 0.04532 36.62694 0.11230 0.03270 0.00657
SN: 51060 50 0.04538 0.04538 36.43231 0.11350 0.03260 0.00873
SN: 82624 50 0.04551 0.04551 36.56451 0.10830 0.03250 0.00670
SN: 70027 50 0.04558 0.04558 36.51989 0.10920 0.03250 0.00608
SN: 10764 50 0.04568 0.04568 36.43368 0.10930 0.03240 0.00710
SN: 30673 50 0.04572 0.04572 36.56758 0.10730 0.03240 0.00636
SN: 96858 50 0.04577 0.04577 36.44164 0.10700 0.03240 0.00659
SN: 65631 50 0.04580 0.04580 36.65414 0.11040 0.03230 0.00646
SN: 34305 50 0.04614 0.04614 36.78141 0.10810 0.03210 0.00653
SN: 44974 50 0.04635 0.04635 36.76068 0.11640 0.03200 0.00819
SN: 63341 50 0.04741 0.04741 36.62591 0.10950 0.03130 0.00612
SN: 87276 50 0.04754 0.04754 36.53293 0.10860 0.03120 0.00601
SN: 63865 50 0.04755 0.04755 36.48337 0.11020 0.03120 0.00643
SN: 99730 50 0.04759 0.04759 36.58231 0.10590 0.03110 0.00613
SN: 25550 50 0.04764 0.04764 36.65994 0.10760 0.03110 0.00654
SN: 13996 50 0.04765 0.04765 36.53849 0.10830 0.03110 0.00627
SN: 97018 50 0.04768 0.04768 36.47583 0.10730 0.03110 0.00629
SN: 117144 50 0.04770 0.04770 36.51304 0.10620 0.03110 0.00660
SN: 23080 50 0.04816 0.04816 36.58156 0.11900 0.03080 0.00682
SN: 110858 50 0.04817 0.04817 36.49162 0.12530 0.03080 0.00617
SN: 70232 50 0.04825 0.04825 36.81444 0.13870 0.03070 0.00673
SN: 39763 50 0.04829 0.04829 36.53102 0.10510 0.03070 0.00639
SN: 76016 50 0.04839 0.04839 36.90194 0.11130 0.03060 0.00644
SN: 75084 50 0.04845 0.04845 36.77138 0.11430 0.03060 0.00655
SN: 56885 50 0.04877 0.04877 36.71801 0.10570 0.03040 0.00681
SN: 20118 50 0.04936 0.04936 36.56553 0.10560 0.03010 0.00610
SN: 37750 50 0.04939 0.04939 36.75699 0.11050 0.03000 0.00651
SN: 44092 50 0.04943 0.04943 36.59987 0.11000 0.03000 0.00594
SN: 62142 50 0.04944 0.04944 36.72768 0.12530 0.03000 0.00744
SN: 19329 50 0.04946 0.04946 36.75320 0.11340 0.03000 0.00638
SN: 62954 50 0.04963 0.04963 36.68880 0.10530 0.02990 0.00619
SN: 140048 50 0.04966 0.04966 36.79431 0.12060 0.02990 0.00771
SN: 101702 50 0.04996 0.04996 36.89117 0.10520 0.02970 0.00656
SN: 89101 50 0.05012 0.05012 36.85107 0.10820 0.02960 0.00696
SN: 102138 50 0.05022 0.05022 36.78180 0.10570 0.02960 0.00622
SN: 4480 50 0.05031 0.05031 36.86782 0.10390 0.02950 0.00626
SN: 40995 50 0.05049 0.05049 36.72688 0.10630 0.02940 0.00637
SN: 71591 50 0.05072 0.05072 36.96806 0.10520 0.02930 0.00631
SN: 28970 50 0.05105 0.05105 36.87221 0.10680 0.02910 0.00618
SN: 36994 50 0.05116 0.05116 36.85344 0.11880 0.02900 0.00615
SN: 116828 50 0.05120 0.05120 36.61259 0.10380 0.02900 0.00651
SN: 134724 50 0.05136 0.05136 37.00483 0.10610 0.02890 0.00612
SN: 10931 50 0.05143 0.05143 36.68266 0.10540 0.02890 0.00658
SN: 128494 50 0.05144 0.05144 36.78825 0.10430 0.02890 0.00668
SN: 128563 50 0.05152 0.05152 36.80131 0.11640 0.02880 0.00675
SN: 11271 50 0.05156 0.05156 36.88402 0.10600 0.02880 0.00654
SN: 70558 50 0.05159 0.05159 36.89684 0.10800 0.02880 0.00689
SN: 38479 50 0.05171 0.05171 36.69430 0.12060 0.02870 0.00602
SN: 102957 50 0.05194 0.05194 36.92761 0.11000 0.02860 0.00587
SN: 117697 50 0.05202 0.05202 36.71793 0.11100 0.02860 0.00928
SN: 1620 50 0.05232 0.05232 36.97555 0.10660 0.02840 0.00593
SN: 63804 50 0.05233 0.05233 36.75565 0.10370 0.02840 0.00646
SN: 49949 50 0.05299 0.05299 36.95647 0.10800 0.02800 0.00653
SN: 130233 50 0.05320 0.05320 36.90231 0.11450 0.02790 0.00623
SN: 100547 50 0.05336 0.05336 36.93069 0.10370 0.02790 0.01760
SN: 4613 50 0.05337 0.05337 36.75287 0.10610 0.02780 0.00629
SN: 4080 50 0.05340 0.05340 37.16166 0.12100 0.02780 0.00607
SN: 116692 50 0.05343 0.05343 36.86652 0.10350 0.02780 0.00598
SN: 110753 50 0.05356 0.05356 36.89026 0.11510 0.02780 0.00667
SN: 61463 50 0.05370 0.05370 37.03808 0.10570 0.02770 0.00631
SN: 54093 50 0.05372 0.05372 36.84976 0.10400 0.02770 0.00602
SN: 5110 50 0.05389 0.05389 36.88361 0.11010 0.02760 0.00696
SN: 126348 50 0.05407 0.05407 36.90484 0.10800 0.02750 0.00605
SN: 19518 50 0.05410 0.05410 36.77319 0.10690 0.02750 0.01059
SN: 70824 50 0.05410 0.05410 37.05678 0.12210 0.02750 0.01012
SN: 126589 50 0.05414 0.05414 36.79945 0.11890 0.02750 0.00668
SN: 22502 50 0.05415 0.05415 36.98919 0.10250 0.02750 0.00716
SN: 84347 50 0.05416 0.05416 36.90139 0.10350 0.02750 0.00609
SN: 83958 50 0.05426 0.05426 36.86727 0.10910 0.02740 0.00632
SN: 103064 50 0.05431 0.05431 37.02925 0.10330 0.02740 0.00615
SN: 75658 50 0.05438 0.05438 36.92058 0.11050 0.02730 0.00682
SN: 82499 50 0.05438 0.05438 36.78662 0.10770 0.02730 0.00622
SN: 46198 50 0.05441 0.05441 36.82923 0.10390 0.02730 0.00609
SN: 89547 50 0.05462 0.05462 37.15231 0.11230 0.02720 0.00763
SN: 74387 50 0.05470 0.05470 36.93555 0.10780 0.02720 0.00635
SN: 64767 50 0.05472 0.05472 36.82354 0.10290 0.02720 0.00605
SN: 123220 50 0.05478 0.05478 36.87249 0.10330 0.02710 0.00586
SN: 37975 50 0.05492 0.05492 36.90984 0.10820 0.02710 0.00686
SN: 114112 50 0.05502 0.05502 37.00185 0.10610 0.02700 0.00594
SN: 39865 50 0.05512 0.05512 36.89916 0.10520 0.02700 0.00644
SN: 12562 50 0.05515 0.05515 36.86722 0.11330 0.02700 0.00902
SN: 29641 50 0.05523 0.05523 37.09326 0.11140 0.02690 0.00645
SN: 106097 50 0.05528 0.05528 36.88587 0.10470 0.02690 0.00593
SN: 104092 50 0.05536 0.05536 36.78272 0.10300 0.02690 0.00603
SN: 88232 50 0.05541 0.05541 36.99045 0.10610 0.02680 0.00741
SN: 63885 50 0.05542 0.05542 36.83187 0.10230 0.02680 0.00604
SN: 44462 50 0.05552 0.05552 36.96647 0.11580 0.02680 0.00640
SN: 20393 50 0.05557 0.05557 36.87463 0.10450 0.02680 0.00585
SN: 114604 50 0.05562 0.05562 37.10006 0.10400 0.02680 0.00652
SN: 53038 50 0.05566 0.05566 36.94213 0.10940 0.02670 0.00628
SN: 47760 50 0.05567 0.05567 36.95358 0.10490 0.02670 0.00593
SN: 19385 50 0.05575 0.05575 37.02482 0.10700 0.02670 0.00759
SN: 49347 50 0.05575 0.05575 36.96767 0.10450 0.02670 0.00627
SN: 69875 50 0.05575 0.05575 36.96201 0.11120 0.02670 0.00626
SN: 61695 50 0.05577 0.05577 36.83865 0.10420 0.02670 0.00610
SN: 95794 50 0.05581 0.05581 36.94270 0.10530 0.02670 0.00678
SN: 52731 50 0.05587 0.05587 37.06947 0.10730 0.02660 0.00629
SN: 50741 50 0.05592 0.05592 36.69040 0.12670 0.02660 0.00759
SN: 1486 50 0.05618 0.05618 37.03628 0.10340 0.02650 0.00708
SN: 38138 50 0.05642 0.05642 36.89727 0.10820 0.02640 0.00598
SN: 28149 50 0.05659 0.05659 36.96437 0.10520 0.02630 0.00636
SN: 106521 50 0.05673 0.05673 37.04642 0.10550 0.02620 0.00600
SN: 14621 50 0.05673 0.05673 36.93211 0.10300 0.02620 0.00591
SN: 69961 50 0.05677 0.05677 37.02033 0.10550 0.02620 0.00734
SN: 128032 50 0.05680 0.05680 37.10872 0.10180 0.02620 0.00598
SN: 126875 50 0.05694 0.05694 36.96773 0.10260 0.02610 0.00597
SN: 36135 50 0.05736 0.05736 37.02269 0.11280 0.02600 0.00575
SN: 135394 50 0.05762 0.05762 37.09162 0.18050 0.02580 0.01695
SN: 63471 50 0.05778 0.05778 37.14123 0.10340 0.02580 0.00639
SN: 26359 50 0.05781 0.05781 37.18467 0.11100 0.02580 0.00731
SN: 31578 50 0.05784 0.05784 37.08294 0.10420 0.02570 0.00640
SN: 57400 50 0.05785 0.05785 37.05610 0.10880 0.02570 0.00602
SN: 81134 50 0.05818 0.05818 37.10117 0.10240 0.02560 0.00597
SN: 100853 50 0.05830 0.05830 36.99501 0.10650 0.02560 0.00701
SN: 108398 50 0.05835 0.05835 37.07269 0.10590 0.02550 0.00712
SN: 79926 50 0.05850 0.05850 37.02588 0.10590 0.02550 0.00601
SN: 2905 50 0.05851 0.05851 37.11944 0.10360 0.02550 0.00665
SN: 107950 50 0.05867 0.05867 36.92645 0.10070 0.02540 0.00622
SN: 61820 50 0.05878 0.05878 37.16246 0.10290 0.02530 0.00655
SN: 13406 50 0.05884 0.05884 37.07784 0.10220 0.02530 0.00591
SN: 53126 50 0.05884 0.05884 37.03759 0.10800 0.02530 0.00602
SN: 104354 50 0.05891 0.05891 37.19435 0.10430 0.02530 0.00673
SN: 125626 50 0.05900 0.05900 37.00131 0.10220 0.02530 0.00637
SN: 90983 50 0.05933 0.05933 37.09946 0.10340 0.02510 0.00629
SN: 18304 50 0.05937 0.05937 37.01520 0.10430 0.02510 0.00582
SN: 67774 50 0.05939 0.05939 37.17048 0.10720 0.02510 0.00777
SN: 29517 50 0.05941 0.05941 36.91349 0.10290 0.02510 0.00653
SN: 89011 50 0.05949 0.05949 37.24205 0.11540 0.02510 0.00603
SN: 34612 50 0.05951 0.05951 37.11103 0.10400 0.02500 0.00644
SN: 126698 50 0.05957 0.05957 36.95563 0.10300 0.02500 0.00695
SN: 56795 50 0.05968 0.05968 37.08282 0.10430 0.02500 0.00640
SN: 111229 50 0.05969 0.05969 37.15509 0.10490 0.02500 0.00578
SN: 20165 50 0.05975 0.05975 37.18147 0.10330 0.02490 0.00613
SN: 103600 50 0.05982 0.05982 37.30744 0.11060 0.02490 0.00657
SN: 90026 50 0.06001 0.06001 37.17799 0.11750 0.02480 0.00643
SN: 40417 50 0.06002 0.06002 37.13680 0.10370 0.02480 0.00640
SN: 96253 50 0.06004 0.06004 37.21463 0.10260 0.02480 0.00607
SN: 11727 50 0.06012 0.06012 37.41530 0.10280 0.02480 0.00657
SN: 67332 50 0.06013 0.06013 36.97260 0.10760 0.02480 0.00695
SN: 17269 50 0.06028 0.06028 37.19699 0.11770 0.02470 0.00685
SN: 18274 50 0.06065 0.06065 37.16668 0.10680 0.02460 0.00700
SN: 26342 50 0.06065 0.06065 37.26947 0.10410 0.02460 0.00593
SN: 102996 50 0.06068 0.06068 37.11020 0.10600 0.02460 0.00683
SN: 55202 50 0.06071 0.06071 37.25106 0.10400 0.02460 0.00630
SN: 27379 50 0.06072 0.06072 37.22324 0.12390 0.02460 0.00787
SN: 121009 50 0.06089 0.06089 37.14398 0.11000 0.02450 0.00704
SN: 14666 50 0.06089 0.06089 37.13410 0.10300 0.02450 0.00584
SN: 127339 50 0.06107 0.06107 37.18664 0.10670 0.02440 0.00660
SN: 18346 50 0.06110 0.06110 37.23683 0.10380 0.02440 0.00671
SN: 48219 50 0.06115 0.06115 37.19091 0.09600 0.02440 0.00615
SN: 76736 50 0.06117 0.06117 37.08582 0.11960 0.02440 0.00686
SN: 16036 50 0.06124 0.06124 37.16015 0.11660 0.02440 0.00746
SN: 88159 50 0.06137 0.06137 37.19994 0.10390 0.02430 0.00614
SN: 47432 50 0.06151 0.06151 37.01815 0.10070 0.02430 0.00604
SN: 88693 50 0.06159 0.06159 37.19453 0.10230 0.02420 0.00598
SN: 58286 50 0.06170 0.06170 37.06298 0.11210 0.02420 0.00633
SN: 98042 50 0.06176 0.06176 37.21936 0.10390 0.02420 0.00707
SN: 74974 50 0.06179 0.06179 37.22595 0.11150 0.02410 0.00781
SN: 106846 50 0.06191 0.06191 37.21041 0.10390 0.02410 0.00674
SN: 23067 50 0.06195 0.06195 37.21345 0.10100 0.02410 0.00631
SN: 51228 50 0.06195 0.06195 37.14065 0.10030 0.02410 0.00585
SN: 117449 50 0.06203 0.06203 37.18341 0.10610 0.02410 0.00616
SN: 116872 50 0.06218 0.06218 37.20856 0.10290 0.02400 0.00587
SN: 25770 50 0.06222 0.06222 37.32349 0.10540 0.02400 0.00610
SN: 63918 50 0.06232 0.06232 37.30505 0.13530 0.02390 0.00601
SN: 84547 50 0.06232 0.06232 37.33190 0.09990 0.02390 0.00590
SN: 63142 50 0.06234 0.06234 37.11228 0.09980 0.02390 0.00581
SN: 138696 50 0.06257 0.06257 37.12755 0.10280 0.02390 0.00720
SN: 83003 50 0.06276 0.06276 37.40666 0.10500 0.02380 0.00688
SN: 31584 50 0.06282 0.06282 37.26487 0.11150 0.02380 0.00591
SN: 27151 50 0.06284 0.06284 37.09556 0.10780 0.02380 0.00594
SN: 75629 50 0.06291 0.06291 37.28353 0.10200 0.02370 0.00658
SN: 25415 50 0.06296 0.06296 37.15545 0.10220 0.02370 0.00585
SN: 106598 50 0.06300 0.06300 37.10115 0.11040 0.02370 0.00639
SN: 110309 50 0.06304 0.06304 37.08429 0.17150 0.02370 0.00899
SN: 99518 50 0.06320 0.06320 37.29560 0.10300 0.02360 0.00631
SN: 57195 50 0.06323 0.06323 37.04459 0.10410 0.02360 0.00595
SN: 38779 50 0.06324 0.06324 37.23973 0.11060 0.02360 0.00755
SN: 34110 50 0.06331 0.06331 37.34814 0.10330 0.02360 0.00676
SN: 7946 50 0.06335 0.06335 37.22625 0.10600 0.02360 0.00808
SN: 122723 50 0.06343 0.06343 37.28688 0.10470 0.02350 0.00662
SN: 131138 50 0.06346 0.06346 37.24011 0.10190 0.02350 0.00618
SN: 97371 50 0.06351 0.06351 37.20125 0.10230 0.02350 0.00632
