# MU = distance modulus corrected for bias and contamination
# MUERR = stat-uncertainty on MU 
# MUERR_SYS = sqrt(COVSYS_DIAG) for 'ALL' sys (diagnostic)
# ISDATA_REAL: 0  # flag for cosmology fitter to choose blind option # 5785
zCMB zHEL MU MUERR MUERR_SYS
3.933999999999999997e-02 3.933999999999999997e-02 3.614730999999999739e+01 1.105000000000000010e-01 7.450000000000000025e-03
3.953999999999999876e-02 3.953999999999999876e-02 3.614545999999999992e+01 1.178000000000000019e-01 7.429999999999999973e-03
3.962000000000000244e-02 3.962000000000000244e-02 3.622216000000000236e+01 1.155999999999999944e-01 6.890000000000000291e-03
3.980999999999999817e-02 3.980999999999999817e-02 3.631687999999999761e+01 1.239999999999999991e-01 6.479999999999999649e-03
4.034999999999999698e-02 4.034999999999999698e-02 3.634866000000000241e+01 1.423999999999999988e-01 8.009999999999999759e-03
4.062000000000000333e-02 4.062000000000000333e-02 3.624217999999999762e+01 1.137999999999999984e-01 7.620000000000000037e-03
4.073000000000000231e-02 4.073000000000000231e-02 3.626069999999999993e+01 1.100000000000000006e-01 6.779999999999999569e-03
4.080000000000000293e-02 4.080000000000000293e-02 3.616201999999999828e+01 1.280000000000000027e-01 6.599999999999999964e-03
4.089000000000000273e-02 4.089000000000000273e-02 3.625759999999999650e+01 1.146999999999999964e-01 6.539999999999999807e-03
4.096999999999999947e-02 4.096999999999999947e-02 3.622742999999999824e+01 1.479000000000000037e-01 7.000000000000000146e-03
4.100000000000000172e-02 4.100000000000000172e-02 3.644498999999999711e+01 1.194000000000000061e-01 7.680000000000000195e-03
4.132000000000000256e-02 4.132000000000000256e-02 3.634127000000000152e+01 1.126999999999999946e-01 6.939999999999999988e-03
4.134000000000000175e-02 4.134000000000000175e-02 3.636992000000000047e+01 1.087999999999999939e-01 7.239999999999999908e-03
4.152000000000000135e-02 4.152000000000000135e-02 3.636507000000000289e+01 1.147999999999999993e-01 6.850000000000000186e-03
4.175999999999999851e-02 4.175999999999999851e-02 3.646471999999999980e+01 1.165999999999999953e-01 6.470000000000000057e-03
